61,1,0,8
62,1,0,8
63,1,0,8
64,1,0,8
65,1,0,8
66,1,0,7
67,1,0,7
68,1,0,7
69,1,0,7
70,1,0,7
71,1,0,7
72,1,0,7
73,1,0,8
74,1,0,7
75,1,0,8
76,1,0,7
77,1,0,7
78,1,0,7
79,1,0,9
79,2,0,5
80,1,0,9
80,2,0,5
81,1,0,8
81,2,0,5
82,1,0,7
82,2,0,8
83,1,0,7
83,2,0,8
84,1,0,7
84,2,0,5
85,1,0,7
85,2,0,5
86,1,0,7
86,2,0,5
87,1,0,7
87,2,0,5
88,1,0,8
88,2,0,5
89,1,0,8
89,2,0,8
90,1,0,7
90,2,0,8
91,1,0,8
91,2,0,5
92,1,0,8
92,2,0,5
93,1,0,8
93,2,0,8
93,3,1,8
94,1,0,8
94,2,0,5
94,3,0,8
95,1,0,8
95,2,0,5
95,3,1,8
96,1,0,8
96,2,0,5
96,3,1,8
97,1,0,8
97,2,0,5
97,3,1,8
98,1,0,8
98,2,0,5
98,3,1,8
99,1,0,8
99,2,0,5
99,3,1,8
100,1,0,8
100,2,0,5
100,3,1,8
101,1,0,8
101,2,0,5
101,3,1,8
102,1,0,8
102,2,0,5
102,3,1,8
103,1,0,8
103,2,0,5
103,3,1,8
104,1,0,8
104,2,0,5
104,3,1,8
105,1,0,8
105,2,0,5
105,3,1,8
106,1,0,8
106,2,0,5
106,3,1,8
107,1,0,8
107,2,0,5
107,3,1,8
108,1,0,8
108,2,0,5
108,3,1,8
109,1,0,7
109,2,0,5
109,3,1,8
110,1,0,7
110,2,0,5
110,3,1,8
111,1,0,8
111,2,0,5
111,3,1,8
112,1,0,7
112,2,0,5
112,3,1,8
113,1,0,7
113,2,0,5
113,3,1,8
114,1,0,7
114,2,0,5
114,3,1,8
115,1,0,9
115,2,0,5
115,3,1,8
116,1,0,9
116,2,0,5
116,3,1,8
117,1,0,9
117,2,0,5
117,3,1,8
118,1,0,8
118,2,0,5
118,3,1,8
119,1,0,8
119,2,0,5
119,3,1,8
120,1,0,8
120,2,0,5
120,3,1,8
121,1,0,8
121,2,0,5
121,3,1,8
122,1,0,8
122,2,0,5
122,3,1,8
122,4,0,8
123,1,0,8
123,2,0,5
123,3,1,8
123,4,0,8
124,1,0,8
124,2,0,5
124,3,1,8
124,4,0,8
125,1,0,8
125,2,0,5
125,3,1,8
125,4,0,8
126,1,0,8
126,2,0,5
126,3,1,8
126,4,0,8
127,1,0,8
127,2,0,5
127,3,1,8
127,4,0,8
128,1,0,8
128,2,0,5
128,3,1,8
128,4,0,8
129,1,0,8
129,2,0,5
129,3,1,8
129,4,0,8
130,1,0,8
130,2,0,5
130,3,1,3
130,4,0,8
131,1,0,8
131,2,0,5
131,3,1,3
131,4,0,8
132,1,0,8
132,2,0,5
132,3,1,8
132,4,0,8
133,1,0,8
133,2,0,5
133,3,1,8
133,4,0,8
134,1,0,8
134,2,0,5
134,3,1,8
134,4,0,8
135,1,0,8
135,2,0,5
135,3,1,8
135,4,0,10
136,1,0,8
136,2,0,5
136,3,1,2
136,4,0,10
137,1,0,8
137,2,0,5
137,3,1,8
137,4,0,10
138,1,0,8
138,2,0,5
138,3,1,8
138,4,0,10
139,1,0,8
139,2,0,5
139,3,1,2
139,4,0,10
140,1,0,8
140,2,0,5
140,3,1,2
141,1,0,8
141,2,0,5
141,3,1,8
142,1,0,8
142,2,0,5
142,3,1,8
143,1,0,8
143,2,0,5
143,3,1,8
144,1,0,8
144,2,0,5
144,3,1,8
145,1,0,8
145,2,0,5
145,3,1,8
146,1,0,8
146,2,0,5
146,3,1,8
146,5,0,7
147,1,0,8
147,2,0,5
147,3,1,8
147,5,0,8
148,1,0,8
148,2,0,5
148,3,1,2
148,5,0,7
149,1,0,8
149,2,0,5
149,3,1,8
149,5,0,7
150,1,0,8
150,2,0,5
150,3,1,8
150,5,0,7
151,1,0,8
151,2,0,5
151,5,0,7
152,1,0,8
152,2,0,5
152,5,0,8
153,1,0,8
153,2,0,5
153,5,0,7
154,1,0,8
154,2,0,5
154,5,0,8
155,1,0,8
155,2,0,5
155,5,0,7
156,1,0,8
156,2,0,5
156,5,0,7
157,1,0,8
157,2,0,5
157,5,0,8
158,1,0,8
158,2,0,5
158,5,0,8
159,1,0,8
159,2,0,5
159,5,0,8
160,1,0,8
160,2,0,5
160,5,0,8
161,1,0,8
161,2,0,5
161,5,0,8
162,1,0,8
162,2,0,5
162,5,0,8
163,1,0,8
163,2,0,5
163,5,0,8
164,1,0,8
164,2,0,5
164,5,0,8
165,1,0,8
165,2,0,5
165,5,0,8
166,1,0,8
166,2,0,5
166,5,0,8
167,1,0,8
167,2,0,5
167,5,0,8
168,1,0,7
168,2,0,5
168,5,0,8
169,1,0,7
169,2,0,5
169,5,0,8
170,1,0,7
170,2,0,5
170,5,0,8
171,1,0,7
171,2,0,5
171,5,0,8
172,1,0,7
172,2,0,5
172,5,0,8
173,1,0,7
173,2,0,5
173,5,0,8
174,1,0,7
174,2,0,5
174,5,0,8
175,1,0,7
175,2,0,5
175,5,0,8
176,1,0,7
176,2,0,5
176,5,0,8
177,1,0,7
177,2,0,5
177,5,0,8
178,1,0,7
178,2,0,5
178,5,0,8
179,1,0,7
179,2,0,5
179,5,0,8
180,1,0,8
180,2,0,5
180,5,0,8
181,1,0,8
181,2,0,5
181,5,0,8
182,1,0,8
182,2,0,5
182,5,0,8
183,1,0,8
183,2,0,5
183,5,0,8
184,1,0,8
184,2,0,5
184,5,0,8
185,1,0,8
185,2,0,5
185,5,0,8
186,1,0,8
186,2,0,5
186,5,0,8
187,1,0,8
187,2,0,8
187,5,0,8
188,1,0,7
188,2,0,5
188,5,0,8
189,1,0,7
189,2,0,8
189,5,0,8
190,1,0,8
190,2,0,8
190,5,0,8
191,1,0,8
191,2,0,8
191,5,0,8
192,1,0,8
192,2,0,5
192,5,0,8
193,1,0,7
